2288	59991	79232
2312	60222	79338
2292	60250	78979
2584	60257	82811
2307	60306	79228
2617	60362	84072
2568	60376	82980
2489	60425	82022
2328	60523	79802
2562	60663	83011
2267	60712	78951
2240	60719	78437
2318	60929	79574
2333	60936	80143
2553	60936	82740
2644	60936	84240
2249	61069	78826
2275	61097	79204
2362	61174	81115
2287	61195	79514
2248	61335	79122
2581	61335	83727
2681	61398	85178
2628	61524	84876
2303	61713	80626
2406	61832	81988
2409	61846	83224
2270	61888	80295
2264	61909	80065
2290	61937	80208
2336	61965	80948
2654	62189	85667
2379	62210	81842
2364	62231	81285
2373	62238	81545
2302	62273	82358
2294	62287	80560
2676	62294	85318
2532	62378	83772
2453	62399	82830
2639	62434	85281
2601	62448	85123
2614	62448	85595
2309	62497	81289
2564	62637	84863
2541	62693	85298
2584	62735	84851
2401	62798	82552
2445	62819	83012
2375	63029	81952
2525	63036	84089
2582	63092	85527
2536	63197	86583
2400	63211	82762
2654	63211	86478
2447	63330	83601
2394	63400	82493
2459	63540	84271
2526	63638	84657
2434	63666	83881
2525	63722	86647
2416	63736	84811
2534	63736	85620
2505	63750	84418
2445	63820	84288
2472	63848	84446
2478	63855	84369
2583	63890	86699
2526	63939	85454
2530	63974	86138
2491	63995	84981
2408	64030	84194
2451	64037	84529
2488	64051	85343
2569	64058	86752
2416	64128	83304
2576	64135	86191
2387	64156	83826
2416	64240	83540
2508	64282	85301
2524	64296	85378
2501	64303	85258
2442	64345	84453
2361	64548	83037
2419	64709	85521
