2431, 72416., 87808
2400, 72430., 88013
2474, 72934., 88732
2413, 72864., 88062
2451, 73165., 89824
2393, 73207., 88533
2417, 73396., 89132
2473, 73543., 89832
2469, 74516., 90195
2454, 74033., 90415
2467, 74425., 90276
2427, 74278., 90343
2473, 74369., 90333
2428, 74929., 90447
2486, 74852., 90946
2420, 75076., 90642
2496, 75230., 91236
2465, 75699., 91445
2467, 75846., 92058
2475, 75937., 92425
2469, 75979., 91740
2486, 76259., 92832
2470, 76441., 92242
2483, 76511., 93475
2517, 76973., 93031
2552, 77309., 93635
2546, 77792., 93400
2579, 77848., 94269
2561, 78352., 94243
2567, 78345., 94774
2620, 78597., 95385
2574, 78681., 96324
2635, 78807., 95584
2644, 79444., 96004
2638, 79402., 96221
2690, 80165., 98215
2646, 79920., 97071
2654, 80102., 96875
2664, 81026., 97525
2636, 80746., 98441
2617, 80767., 97193
2638, 80655., 97480
2591, 80585., 97771
2610, 80907., 97458
2578, 80480., 98875
2590, 80823., 99688
2568, 80711., 97293
2612, 81320., 98267
2593, 81789., 97849
2565, 81166., 97688
2551, 80949., 97344
2584, 81285., 97750
2521, 81397., 98818
2530, 81432., 97843
2549, 81838., 98203
2526, 81964., 98252
2525, 81971., 98407
2560, 81810., 99089
2534, 82041., 98616
2518, 81684., 97793
2524, 81642., 98539
2494, 82167., 98072
2498, 81621., 98777
2500, 81439., 99514
2447, 81474., 97692
2447, 80865., 96895
2435, 81201., 97124
2433, 80886., 97378
2446, 81152., 97647
2416, 81152., 97578
2461, 81075., 97243
2417, 81467., 97679
2449, 81194., 97473
2414, 80935., 96925
2460, 81040., 99160
2375, 80753., 96614
2444, 80648., 96597
2424, 80704., 96598
2399, 80459., 96474
2383, 80011., 96032
2421, 80158., 95923
2362, 79934., 95562
2405, 79654., 95517
2368, 79605., 95214
2396, 79570., 95933
2350, 78849., 95008
2363, 78779., 94378
2349, 78674., 95339
2365, 78387., 94295
2370, 78863., 94516
2350, 78660., 94362
2316, 78709., 94275
2357, 78345., 94281
2290, 78317., 94024
2286, 77967., 93678
2263, 77778., 93844
2278, 77834., 93090
2292, 77757., 93552
2257, 77708., 93181
2290, 77204., 92685
2261, 77022., 92582
2294, 77155., 93055
2269, 76812., 92062
2286, 77071., 93741
2276, 77267., 92728
2269, 76819., 92718
2294, 76581., 92143
2226, 76294., 91937
2307, 76399., 92076
2248, 76455., 91877
2300, 76406., 92028
2255, 76007., 91778
2284, 75979., 91492
2244, 75454., 91660
2279, 75636., 92019
2250, 75475., 91645
2318, 75510., 91200
2251, 75062., 90203
2307, 75209., 90643
2219, 74677., 89946
2292, 74852., 90360
2237, 74614., 89766
2296, 74621., 89888
2221, 74432., 89704
2300, 74579., 89850
2238, 74495., 89891
2252, 74201., 90301
